id;type ;fn1;fn2;phoneme;word;sentence
103;TEST_AT;AT57look.wav;BT57look.wav;oo;oo;I always <b><i>look</i></b> good
104;TEST_AT;AT57lot.wav;BT57lot.wav;o;o;I like him a <b><i>lot</i></b>
105;TEST_BT;BT57thanks.wav;AT57thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
106;TEST_BT;BT57those.wav;AT57those.wav;th;th;I want <b><i>those</i></b> shoes
107;TEST_RT;RT57bathe.wav;AT57bathe.wav;the;the;He likes to <b><i>bathe</i></b>
108;TEST_AT;AT57death.wav;RT57death.wav;th;th;What causes sudden <b><i>death</i></b>?
109;TEST_RT;RT57look.wav;AT57look.wav;oo;oo;I always <b><i>look</i></b> good
110;TEST_AT;AT57lot.wav;RT57lot.wav;o;o;I like him a <b><i>lot</i></b>
111;TEST_AT;AT57thanks.wav;RT57thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
112;TEST_AT;AT57those.wav;RT57those.wav;th;th;I want <b><i>those</i></b> shoes
113;TEST_RT;RT57bathe.wav;BT57bathe.wav;the;the;He likes to <b><i>bathe</i></b>
114;TEST_RT;RT57death.wav;BT57death.wav;th;th;What causes sudden <b><i>death</i></b>?
115;TEST_BT;BT57look.wav;RT57look.wav;oo;oo;I always <b><i>look</i></b> good
116;TEST_RT;RT57lot.wav;BT57lot.wav;o;o;I like him a <b><i>lot</i></b>
117;TEST_BT;BT57thanks.wav;RT57thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
118;TEST_RT;RT57those.wav;BT57those.wav;th;th;I want <b><i>those</i></b> shoes
119;TEST_AT;AT55bathe.wav;BT55bathe.wav;the;the;He likes to <b><i>bathe</i></b>
120;TEST_BT;BT55death.wav;AT55death.wav;th;th;What causes sudden <b><i>death</i></b>?
121;TEST_AT;AT55look.wav;BT55look.wav;oo;oo;I always <b><i>look</i></b> good
122;TEST_AT;AT55lot.wav;BT55lot.wav;o;o;I like him a <b><i>lot</i></b>
123;TEST_BT;BT55thanks.wav;AT55thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
124;TEST_BT;BT55those.wav;AT55those.wav;th;th;I want <b><i>those</i></b> shoes
125;TEST_RT;RT55bathe.wav;AT55bathe.wav;the;the;He likes to <b><i>bathe</i></b>
126;TEST_AT;AT55death.wav;RT55death.wav;th;th;What causes sudden <b><i>death</i></b>?
127;TEST_RT;RT55look.wav;AT55look.wav;oo;oo;I always <b><i>look</i></b> good
128;TEST_AT;AT55lot.wav;RT55lot.wav;o;o;I like him a <b><i>lot</i></b>
129;TEST_AT;AT55thanks.wav;RT55thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
130;TEST_AT;AT55those.wav;RT55those.wav;th;th;I want <b><i>those</i></b> shoes
131;TEST_RT;RT55bathe.wav;BT55bathe.wav;the;the;He likes to <b><i>bathe</i></b>
132;TEST_RT;RT55death.wav;BT55death.wav;th;th;What causes sudden <b><i>death</i></b>?
133;TEST_BT;BT55look.wav;RT55look.wav;oo;oo;I always <b><i>look</i></b> good
134;TEST_RT;RT55lot.wav;BT55lot.wav;o;o;I like him a <b><i>lot</i></b>
135;TEST_BT;BT55thanks.wav;RT55thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
136;TEST_RT;RT55those.wav;BT55those.wav;th;th;I want <b><i>those</i></b> shoes
137;TEST_AT;AT64bathe.wav;BT64bathe.wav;the;the;He likes to <b><i>bathe</i></b>
138;TEST_BT;BT64death.wav;AT64death.wav;th;th;What causes sudden <b><i>death</i></b>?
139;TEST_AT;AT64look.wav;BT64look.wav;oo;oo;I always <b><i>look</i></b> good
140;TEST_AT;AT64lot.wav;BT64lot.wav;o;o;I like him a <b><i>lot</i></b>
141;TEST_BT;BT64thanks.wav;AT64thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
142;TEST_BT;BT64those.wav;AT64those.wav;th;th;I want <b><i>those</i></b> shoes
143;TEST_RT;RT64bathe.wav;AT64bathe.wav;the;the;He likes to <b><i>bathe</i></b>
144;TEST_AT;AT64death.wav;RT64death.wav;th;th;What causes sudden <b><i>death</i></b>?
145;TEST_RT;RT64look.wav;AT64look.wav;oo;oo;I always <b><i>look</i></b> good
146;TEST_AT;AT64lot.wav;RT64lot.wav;o;o;I like him a <b><i>lot</i></b>
147;TEST_AT;AT64thanks.wav;RT64thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
148;TEST_AT;AT64those.wav;RT64those.wav;th;th;I want <b><i>those</i></b> shoes
149;TEST_RT;RT64bathe.wav;BT64bathe.wav;the;the;He likes to <b><i>bathe</i></b>
150;TEST_RT;RT64death.wav;BT64death.wav;th;th;What causes sudden <b><i>death</i></b>?
151;TEST_BT;BT64look.wav;RT64look.wav;oo;oo;I always <b><i>look</i></b> good
152;TEST_RT;RT64lot.wav;BT64lot.wav;o;o;I like him a <b><i>lot</i></b>
153;TEST_BT;BT64thanks.wav;RT64thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
154;TEST_RT;RT64those.wav;BT64those.wav;th;th;I want <b><i>those</i></b> shoes
155;TEST_AT;AT73bathe.wav;BT73bathe.wav;the;the;He likes to <b><i>bathe</i></b>
156;TEST_BT;BT73death.wav;AT73death.wav;th;th;What causes sudden <b><i>death</i></b>?
157;TEST_AT;AT73look.wav;BT73look.wav;oo;oo;I always <b><i>look</i></b> good
158;TEST_AT;AT73lot.wav;BT73lot.wav;o;o;I like him a <b><i>lot</i></b>
159;TEST_BT;BT73thanks.wav;AT73thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
160;TEST_BT;BT73those.wav;AT73those.wav;th;th;I want <b><i>those</i></b> shoes
161;TEST_RT;RT73bathe.wav;AT73bathe.wav;the;the;He likes to <b><i>bathe</i></b>
162;TEST_AT;AT73death.wav;RT73death.wav;th;th;What causes sudden <b><i>death</i></b>?
163;TEST_RT;RT73look.wav;AT73look.wav;oo;oo;I always <b><i>look</i></b> good
164;TEST_AT;AT73lot.wav;RT73lot.wav;o;o;I like him a <b><i>lot</i></b>
165;TEST_AT;AT73thanks.wav;RT73thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
166;TEST_AT;AT73those.wav;RT73those.wav;th;th;I want <b><i>those</i></b> shoes
167;TEST_RT;RT73bathe.wav;BT73bathe.wav;the;the;He likes to <b><i>bathe</i></b>
168;TEST_RT;RT73death.wav;BT73death.wav;th;th;What causes sudden <b><i>death</i></b>?
169;TEST_BT;BT73look.wav;RT73look.wav;oo;oo;I always <b><i>look</i></b> good
170;TEST_RT;RT73lot.wav;BT73lot.wav;o;o;I like him a <b><i>lot</i></b>
171;TEST_BT;BT73thanks.wav;RT73thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
172;TEST_RT;RT73those.wav;BT73those.wav;th;th;I want <b><i>those</i></b> shoes
173;TEST_AT;AT71bathe.wav;BT71bathe.wav;the;the;He likes to <b><i>bathe</i></b>
174;TEST_BT;BT71death.wav;AT71death.wav;th;th;What causes sudden <b><i>death</i></b>?
175;TEST_AT;AT71look.wav;BT71look.wav;oo;oo;I always <b><i>look</i></b> good
176;TEST_AT;AT71lot.wav;BT71lot.wav;o;o;I like him a <b><i>lot</i></b>
177;TEST_BT;BT71thanks.wav;AT71thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
178;TEST_BT;BT71those.wav;AT71those.wav;th;th;I want <b><i>those</i></b> shoes
179;TEST_RT;RT71bathe.wav;AT71bathe.wav;the;the;He likes to <b><i>bathe</i></b>
180;TEST_AT;AT71death.wav;RT71death.wav;th;th;What causes sudden <b><i>death</i></b>?
181;TEST_RT;RT71look.wav;AT71look.wav;oo;oo;I always <b><i>look</i></b> good
182;TEST_AT;AT71lot.wav;RT71lot.wav;o;o;I like him a <b><i>lot</i></b>
183;TEST_AT;AT71thanks.wav;RT71thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
184;TEST_AT;AT71those.wav;RT71those.wav;th;th;I want <b><i>those</i></b> shoes
185;TEST_RT;RT71bathe.wav;BT71bathe.wav;the;the;He likes to <b><i>bathe</i></b>
186;TEST_RT;RT71death.wav;BT71death.wav;th;th;What causes sudden <b><i>death</i></b>?
187;TEST_BT;BT71look.wav;RT71look.wav;oo;oo;I always <b><i>look</i></b> good
188;TEST_RT;RT71lot.wav;BT71lot.wav;o;o;I like him a <b><i>lot</i></b>
189;TEST_BT;BT71thanks.wav;RT71thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
190;TEST_RT;RT71those.wav;BT71those.wav;th;th;I want <b><i>those</i></b> shoes
191;TEST_AT;AT65bathe.wav;BT65bathe.wav;the;the;He likes to <b><i>bathe</i></b>
192;TEST_BT;BT65death.wav;AT65death.wav;th;th;What causes sudden <b><i>death</i></b>?
193;TEST_AT;AT65look.wav;BT65look.wav;oo;oo;I always <b><i>look</i></b> good
194;TEST_AT;AT65lot.wav;BT65lot.wav;o;o;I like him a <b><i>lot</i></b>
195;TEST_BT;BT65thanks.wav;AT65thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
196;TEST_BT;BT65those.wav;AT65those.wav;th;th;I want <b><i>those</i></b> shoes
197;TEST_RT;RT65bathe.wav;AT65bathe.wav;the;the;He likes to <b><i>bathe</i></b>
198;TEST_AT;AT65death.wav;RT65death.wav;th;th;What causes sudden <b><i>death</i></b>?
199;TEST_RT;RT65look.wav;AT65look.wav;oo;oo;I always <b><i>look</i></b> good
200;TEST_AT;AT65lot.wav;RT65lot.wav;o;o;I like him a <b><i>lot</i></b>
201;TEST_AT;AT65thanks.wav;RT65thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
202;TEST_AT;AT65those.wav;RT65those.wav;th;th;I want <b><i>those</i></b> shoes
203;TEST_RT;RT65bathe.wav;BT65bathe.wav;the;the;He likes to <b><i>bathe</i></b>
204;TEST_RT;RT65death.wav;BT65death.wav;th;th;What causes sudden <b><i>death</i></b>?
205;TEST_BT;BT65look.wav;RT65look.wav;oo;oo;I always <b><i>look</i></b> good
206;TEST_RT;RT65lot.wav;BT65lot.wav;o;o;I like him a <b><i>lot</i></b>
207;TEST_BT;BT65thanks.wav;RT65thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
208;TEST_RT;RT65those.wav;BT65those.wav;th;th;I want <b><i>those</i></b> shoes
209;TEST_AT;AT68bathe.wav;BT68bathe.wav;the;the;He likes to <b><i>bathe</i></b>
210;TEST_BT;BT68death.wav;AT68death.wav;th;th;What causes sudden <b><i>death</i></b>?
211;TEST_AT;AT68look.wav;BT68look.wav;oo;oo;I always <b><i>look</i></b> good
212;TEST_AT;AT68lot.wav;BT68lot.wav;o;o;I like him a <b><i>lot</i></b>
213;TEST_BT;BT68thanks.wav;AT68thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
214;TEST_BT;BT68those.wav;AT68those.wav;th;th;I want <b><i>those</i></b> shoes
215;TEST_RT;RT68bathe.wav;AT68bathe.wav;the;the;He likes to <b><i>bathe</i></b>
216;TEST_AT;AT68death.wav;RT68death.wav;th;th;What causes sudden <b><i>death</i></b>?
217;TEST_RT;RT68look.wav;AT68look.wav;oo;oo;I always <b><i>look</i></b> good
218;TEST_AT;AT68lot.wav;RT68lot.wav;o;o;I like him a <b><i>lot</i></b>
219;TEST_AT;AT68thanks.wav;RT68thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
220;TEST_AT;AT68those.wav;RT68those.wav;th;th;I want <b><i>those</i></b> shoes
221;TEST_RT;RT68bathe.wav;BT68bathe.wav;the;the;He likes to <b><i>bathe</i></b>
222;TEST_RT;RT68death.wav;BT68death.wav;th;th;What causes sudden <b><i>death</i></b>?
223;TEST_BT;BT68look.wav;RT68look.wav;oo;oo;I always <b><i>look</i></b> good
224;TEST_RT;RT68lot.wav;BT68lot.wav;o;o;I like him a <b><i>lot</i></b>
225;TEST_BT;BT68thanks.wav;RT68thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
226;TEST_RT;RT68those.wav;BT68those.wav;th;th;I want <b><i>those</i></b> shoes
227;TEST_AT;AT62bathe.wav;BT62bathe.wav;the;the;He likes to <b><i>bathe</i></b>
228;TEST_BT;BT62death.wav;AT62death.wav;th;th;What causes sudden <b><i>death</i></b>?
229;TEST_AT;AT62look.wav;BT62look.wav;oo;oo;I always <b><i>look</i></b> good
230;TEST_AT;AT62lot.wav;BT62lot.wav;o;o;I like him a <b><i>lot</i></b>
231;TEST_BT;BT62thanks.wav;AT62thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
232;TEST_BT;BT62those.wav;AT62those.wav;th;th;I want <b><i>those</i></b> shoes
233;TEST_RT;RT62bathe.wav;AT62bathe.wav;the;the;He likes to <b><i>bathe</i></b>
234;TEST_AT;AT62death.wav;RT62death.wav;th;th;What causes sudden <b><i>death</i></b>?
235;TEST_RT;RT62look.wav;AT62look.wav;oo;oo;I always <b><i>look</i></b> good
236;TEST_AT;AT62lot.wav;RT62lot.wav;o;o;I like him a <b><i>lot</i></b>
237;TEST_AT;AT62thanks.wav;RT62thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
238;TEST_AT;AT62those.wav;RT62those.wav;th;th;I want <b><i>those</i></b> shoes
239;TEST_RT;RT62bathe.wav;BT62bathe.wav;the;the;He likes to <b><i>bathe</i></b>
240;TEST_RT;RT62death.wav;BT62death.wav;th;th;What causes sudden <b><i>death</i></b>?
241;TEST_BT;BT62look.wav;RT62look.wav;oo;oo;I always <b><i>look</i></b> good
242;TEST_RT;RT62lot.wav;BT62lot.wav;o;o;I like him a <b><i>lot</i></b>
243;TEST_BT;BT62thanks.wav;RT62thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
244;TEST_RT;RT62those.wav;BT62those.wav;th;th;I want <b><i>those</i></b> shoes
245;TEST_AT;AT56bathe.wav;BT56bathe.wav;the;the;He likes to <b><i>bathe</i></b>
246;TEST_BT;BT56death.wav;AT56death.wav;th;th;What causes sudden <b><i>death</i></b>?
247;TEST_AT;AT56look.wav;BT56look.wav;oo;oo;I always <b><i>look</i></b> good
248;TEST_AT;AT56lot.wav;BT56lot.wav;o;o;I like him a <b><i>lot</i></b>
249;TEST_BT;BT56thanks.wav;AT56thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
250;TEST_BT;BT56those.wav;AT56those.wav;th;th;I want <b><i>those</i></b> shoes
251;TEST_RT;RT56bathe.wav;AT56bathe.wav;the;the;He likes to <b><i>bathe</i></b>
252;TEST_AT;AT56death.wav;RT56death.wav;th;th;What causes sudden <b><i>death</i></b>?
253;TEST_RT;RT56look.wav;AT56look.wav;oo;oo;I always <b><i>look</i></b> good
254;TEST_AT;AT56lot.wav;RT56lot.wav;o;o;I like him a <b><i>lot</i></b>
255;TEST_AT;AT56thanks.wav;RT56thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
256;TEST_AT;AT56those.wav;RT56those.wav;th;th;I want <b><i>those</i></b> shoes
257;TEST_RT;RT56bathe.wav;BT56bathe.wav;the;the;He likes to <b><i>bathe</i></b>
258;TEST_RT;RT56death.wav;BT56death.wav;th;th;What causes sudden <b><i>death</i></b>?
259;TEST_BT;BT56look.wav;RT56look.wav;oo;oo;I always <b><i>look</i></b> good
260;TEST_RT;RT56lot.wav;BT56lot.wav;o;o;I like him a <b><i>lot</i></b>
261;TEST_BT;BT56thanks.wav;RT56thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
262;TEST_RT;RT56those.wav;BT56those.wav;th;th;I want <b><i>those</i></b> shoes
263;TEST_AT;AT70bathe.wav;BT70bathe.wav;the;the;He likes to <b><i>bathe</i></b>
264;TEST_BT;BT70death.wav;AT70death.wav;th;th;What causes sudden <b><i>death</i></b>?
265;TEST_AT;AT70look.wav;BT70look.wav;oo;oo;I always <b><i>look</i></b> good
266;TEST_AT;AT70lot.wav;BT70lot.wav;o;o;I like him a <b><i>lot</i></b>
267;TEST_BT;BT70thanks.wav;AT70thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
268;TEST_BT;BT70those.wav;AT70those.wav;th;th;I want <b><i>those</i></b> shoes
269;TEST_RT;RT70bathe.wav;AT70bathe.wav;the;the;He likes to <b><i>bathe</i></b>
270;TEST_AT;AT70death.wav;RT70death.wav;th;th;What causes sudden <b><i>death</i></b>?
271;TEST_RT;RT70look.wav;AT70look.wav;oo;oo;I always <b><i>look</i></b> good
272;TEST_AT;AT70lot.wav;RT70lot.wav;o;o;I like him a <b><i>lot</i></b>
273;TEST_AT;AT70thanks.wav;RT70thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
274;TEST_AT;AT70those.wav;RT70those.wav;th;th;I want <b><i>those</i></b> shoes
275;TEST_RT;RT70bathe.wav;BT70bathe.wav;the;the;He likes to <b><i>bathe</i></b>
276;TEST_RT;RT70death.wav;BT70death.wav;th;th;What causes sudden <b><i>death</i></b>?
277;TEST_BT;BT70look.wav;RT70look.wav;oo;oo;I always <b><i>look</i></b> good
278;TEST_RT;RT70lot.wav;BT70lot.wav;o;o;I like him a <b><i>lot</i></b>
279;TEST_BT;BT70thanks.wav;RT70thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
280;TEST_RT;RT70those.wav;BT70those.wav;th;th;I want <b><i>those</i></b> shoes
281;TEST_AT;AT69bathe.wav;BT69bathe.wav;the;the;He likes to <b><i>bathe</i></b>
282;TEST_BT;BT69death.wav;AT69death.wav;th;th;What causes sudden <b><i>death</i></b>?
283;TEST_AT;AT69look.wav;BT69look.wav;oo;oo;I always <b><i>look</i></b> good
284;TEST_AT;AT69lot.wav;BT69lot.wav;o;o;I like him a <b><i>lot</i></b>
285;TEST_BT;BT69thanks.wav;AT69thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
286;TEST_BT;BT69those.wav;AT69those.wav;th;th;I want <b><i>those</i></b> shoes
